# time dt fps
0.2194951 48.39643 20.66268
0.4460956 74.05881 13.50278
0.6666838 31.94196 31.30679
0.8881693 31.96105 31.28809
1.092779 29.18996 34.25835
1.322325 30.70996 32.56273
1.547726 31.21741 32.03341
1.749394 16.92169 59.09576
1.951751 17.34101 57.66679
2.15488 16.88164 59.23594
2.369068 21.78615 45.90073
2.579257 16.76808 59.63713
2.783453 16.80534 59.50488
2.98825 17.08854 58.51874
3.191698 17.41238 57.43041
3.397231 17.21556 58.08698
3.601409 17.07194 58.57566
3.805681 17.20825 58.11167
4.018914 17.07479 58.56588
4.222253 17.22283 58.06247
4.428074 17.55221 56.97289
4.633983 17.29677 57.81426
4.837436 17.02259 58.74545
5.042812 16.66694 59.999
5.247914 17.10283 58.46984
5.453492 16.70376 59.86674
5.657702 17.17636 58.21954
5.861683 16.99899 58.82703
6.066397 17.23031 58.03726
6.269862 17.31302 57.76001
6.47354 16.76692 59.64124
6.676326 16.85823 59.3182
6.879314 17.11269 58.43618
7.084426 17.21623 58.08471
7.287986 16.66601 60.00235
7.49418 17.38921 57.50691
7.698722 16.69294 59.90555
7.902491 17.29606 57.81663
8.106064 17.13362 58.36478
8.310122 16.95615 58.97566
8.513465 17.22294 58.06208
8.717163 16.96932 58.92987
8.920718 17.17449 58.22589
9.124672 16.86003 59.31189
9.335369 16.90241 59.16315
9.537416 16.66022 60.02321
9.740031 17.06015 58.61615
9.943841 17.21868 58.07647
10.14759 16.65348 60.0475
10.35102 17.49654 57.15417
10.55291 16.9641 58.94802
10.75926 18.64864 53.6232
10.96226 16.66288 60.01365
11.1658 17.33207 57.6965
11.36867 16.77995 59.59495
11.57135 16.74334 59.72523
11.77374 16.75148 59.69621
11.97655 16.6817 59.94595
12.18026 16.92939 59.06887
12.38357 17.01058 58.78694
12.58733 17.00242 58.81514
12.7913 17.05719 58.6263
12.99434 16.82679 59.42903
13.1983 16.81296 59.47793
13.4013 17.1855 58.18858
13.60462 16.96394 58.94857
13.80707 16.78762 59.5677
14.01069 16.99029 58.85715
14.21384 16.85564 59.32733
14.41812 17.29227 57.82932
14.62153 16.75224 59.69353
14.83058 17.01418 58.77449
15.03357 16.75389 59.68763
15.23568 16.90887 59.14055
15.43838 16.66697 59.99891
15.6412 17.01206 58.78182
15.84459 16.82897 59.42133
16.0468 16.90634 59.14941
16.25029 16.73226 59.76478
16.45289 17.19398 58.15988
16.65524 16.6805 59.95026
16.85822 16.82944 59.41967
17.06133 16.79577 59.53878
17.26334 16.85473 59.33051
17.46623 16.72581 59.78783
17.67069 17.39495 57.48794
17.87387 16.87078 59.2741
18.07781 16.85237 59.33884
18.28142 16.99332 58.84666
18.4841 16.93187 59.06024
18.68774 17.11185 58.43905
18.89116 16.98225 58.88501
19.09363 16.72146 59.8034
19.29663 17.29769 57.81119
19.49992 17.30849 57.7751
19.70294 16.83167 59.41181
19.90513 16.69036 59.91481
20.11581 24.71745 40.45725
20.32032 16.77934 59.59709
20.52252 16.66759 59.99669
20.7249 16.6898 59.91684
20.92756 17.09387 58.5005
21.12944 16.69654 59.89264
21.33299 16.69177 59.90975
21.53754 17.09101 58.51028
21.74239 16.8728 59.26698
21.94514 16.68623 59.92965
22.14739 16.80872 59.49294
22.34954 16.92478 59.08496
22.55222 16.72892 59.77674
22.75578 17.27638 57.88249
22.9593 16.92355 59.08926
23.16342 17.14307 58.3326
23.36546 16.70451 59.86406
23.5689 16.95931 58.96465
23.77181 16.96096 58.95892
23.97453 16.70595 59.8589
24.17839 16.74825 59.70771
24.38197 16.67444 59.97203
24.58443 17.16173 58.2692
24.78784 17.18868 58.17783
24.99022 17.01734 58.76359
25.19264 16.94418 59.01733
25.39589 16.94022 59.03112
25.59836 17.00815 58.79536
25.80315 16.71592 59.8232
26.00622 16.66685 59.99935
26.21184 17.20426 58.12513
26.41701 17.20562 58.12056
26.62708 16.92661 59.07858
26.82922 16.85205 59.33997
27.03175 16.91562 59.11697
27.23434 16.67212 59.98038
27.43721 16.76134 59.66109
27.64587 17.94273 55.73288
27.86076 16.66512 60.00558
28.06806 18.75207 53.32745
28.27274 16.91587 59.11607
28.47588 17.88938 55.89909
28.69409 18.48877 54.08688
28.90248 16.95774 58.97011
29.11567 18.14085 55.1242
29.32968 16.73729 59.74681
29.54429 17.53829 57.01811
29.75684 16.66442 60.00808
29.96498 16.7738 59.6168
30.17816 16.8552 59.32889
30.38378 16.71304 59.83351
30.58814 16.79209 59.55185
30.78983 16.77606 59.60876
30.99717 19.27987 51.86758
31.19734 16.66385 60.01016
31.40329 17.03371 58.7071
31.60652 16.96039 58.96091
31.81047 16.73951 59.73891
32.01351 16.69195 59.90912
32.21719 16.74208 59.72972
32.42017 16.78624 59.57262
32.62265 16.95621 58.97546
32.82639 16.9967 58.83496
33.02881 16.73266 59.76334
33.23215 16.66379 60.01035
33.43566 16.89341 59.19469
33.63937 16.91539 59.11777
33.84407 16.72255 59.79949
34.04795 17.17226 58.23345
34.25164 16.90132 59.16697
